image,region,version,tone_evenness_score
00048.png,left-cheek,a_degradation_11,0.22740347639635847
00048.png,right-cheek,a_degradation_11,0.22788424321675296
00048.png,bottom-face,a_degradation_11,0.18042947534188777
00048.png,forehead,a_degradation_11,0.20720470673714916
00048.png,under-eyes,a_degradation_11,0.18767207927735718
00048.png,left-cheek,a_degradation_17,0.23660535480116135
00048.png,right-cheek,a_degradation_17,0.22922828654574212
00048.png,bottom-face,a_degradation_17,0.1747124994283933
00048.png,forehead,a_degradation_17,0.19956209239667055
00048.png,under-eyes,a_degradation_17,0.17925413137790852
00056.png,left-cheek,original_roi,0.12075336670475717
00056.png,right-cheek,original_roi,0.1200758567902201
00056.png,bottom-face,original_roi,0.17419753430006732
00056.png,forehead,original_roi,0.15147692825624623
00056.png,under-eyes,original_roi,0.12045952039407774
00056.png,left-cheek,a_degradation_11,0.12347210844622394
00056.png,right-cheek,a_degradation_11,0.114024654579068
00056.png,bottom-face,a_degradation_11,0.16403290269356763
00056.png,forehead,a_degradation_11,0.13900714420078591
00056.png,under-eyes,a_degradation_11,0.11674027961428755
00056.png,left-cheek,a_degradation_17,0.11847653886133684
00056.png,right-cheek,a_degradation_17,0.10653381448956385
00056.png,bottom-face,a_degradation_17,0.1494059415903936
00056.png,forehead,a_degradation_17,0.13184649764068457
00056.png,under-eyes,a_degradation_17,0.1100376403508196
00062.png,left-cheek,original_roi,0.3214226216190823
00062.png,right-cheek,original_roi,0.32526852774661663
00062.png,bottom-face,original_roi,0.25314975226710285
00062.png,forehead,original_roi,0.24549399502963368
00062.png,under-eyes,original_roi,0.20205022420975538
00062.png,left-cheek,a_degradation_11,0.3161539209306981
00062.png,right-cheek,a_degradation_11,0.327454281670466
00062.png,bottom-face,a_degradation_11,0.24794712707981909
00062.png,forehead,a_degradation_11,0.2452517019564855
00062.png,under-eyes,a_degradation_11,0.19407926334295053
00062.png,left-cheek,a_degradation_17,0.2846623842561647
00062.png,right-cheek,a_degradation_17,0.29836977987298396
00062.png,bottom-face,a_degradation_17,0.23564095382274877
00062.png,forehead,a_degradation_17,0.2274999549467206
00062.png,under-eyes,a_degradation_17,0.19327753246146354
00065.png,left-cheek,original_roi,0.23308558762854256
00065.png,right-cheek,original_roi,0.26853836075916565
00065.png,bottom-face,original_roi,0.22169606493242838
00065.png,forehead,original_roi,0.19423601887292663
00065.png,under-eyes,original_roi,0.2808152149706778
00065.png,left-cheek,a_degradation_11,0.2348701875592864
00065.png,right-cheek,a_degradation_11,0.26220079023303206
00065.png,bottom-face,a_degradation_11,0.21574390562883045
00065.png,forehead,a_degradation_11,0.18974991592955293
00065.png,under-eyes,a_degradation_11,0.2595072923750293
00065.png,left-cheek,a_degradation_17,0.2342858657409713
00065.png,right-cheek,a_degradation_17,0.244945350515306
00065.png,bottom-face,a_degradation_17,0.19469101552694296
00065.png,forehead,a_degradation_17,0.18032383262710613
00065.png,under-eyes,a_degradation_17,0.2592887183059555
00074.png,left-cheek,original_roi,0.23290498063352758
00074.png,right-cheek,original_roi,0.12098388711804212
00074.png,bottom-face,original_roi,0.19093599216907797
00074.png,forehead,original_roi,0.12594849587361645
00074.png,under-eyes,original_roi,0.12324593692533842
00074.png,left-cheek,a_degradation_11,0.24579252982521432
00074.png,right-cheek,a_degradation_11,0.11534133780683022
00074.png,bottom-face,a_degradation_11,0.19610919870446017
00074.png,forehead,a_degradation_11,0.11605702677643044
00074.png,under-eyes,a_degradation_11,0.11748852852771022
00074.png,left-cheek,a_degradation_17,0.2532023680553368
00074.png,right-cheek,a_degradation_17,0.10549210494600028
00074.png,bottom-face,a_degradation_17,0.17733980116955958
00074.png,forehead,a_degradation_17,0.11077699299143583
00074.png,under-eyes,a_degradation_17,0.10902353254446948
00094.png,left-cheek,original_roi,0.3453796649436718
00094.png,right-cheek,original_roi,0.26274073100079554
00094.png,bottom-face,original_roi,0.2552596007077372
00094.png,forehead,original_roi,0.26544191589404054
00094.png,under-eyes,original_roi,0.31330608938185517
00094.png,left-cheek,a_degradation_11,0.3082202734430687
00094.png,right-cheek,a_degradation_11,0.2391688832495983
00094.png,bottom-face,a_degradation_11,0.23533360374911438
00094.png,forehead,a_degradation_11,0.2475852207330109
00094.png,under-eyes,a_degradation_11,0.28670714941597975
00094.png,left-cheek,a_degradation_17,0.24499218301442424
00094.png,right-cheek,a_degradation_17,0.2175283303631856
00094.png,bottom-face,a_degradation_17,0.21360954063442725
00094.png,forehead,a_degradation_17,0.23897324592997135
00094.png,under-eyes,a_degradation_17,0.2777348810167602
00113.png,left-cheek,original_roi,0.22907099465504252
00113.png,right-cheek,original_roi,0.2374055830044277
00113.png,bottom-face,original_roi,0.2640334489388468
00113.png,forehead,original_roi,0.1719689211951274
00113.png,under-eyes,original_roi,0.19407145604901105
00113.png,left-cheek,a_degradation_11,0.24035498947697942
00113.png,right-cheek,a_degradation_11,0.2451977777782195
00113.png,bottom-face,a_degradation_11,0.251439926529471
00113.png,forehead,a_degradation_11,0.16885943917446683
00113.png,under-eyes,a_degradation_11,0.1918194372518004
00113.png,left-cheek,a_degradation_17,0.21914114777322466
00113.png,right-cheek,a_degradation_17,0.2546476428996266
00113.png,bottom-face,a_degradation_17,0.22252405865669805
00113.png,forehead,a_degradation_17,0.16085178908318054
00113.png,under-eyes,a_degradation_17,0.18382866842582132
00114.png,left-cheek,original_roi,0.31526865624904304
00114.png,right-cheek,original_roi,0.1726826132126376
00114.png,bottom-face,original_roi,0.15181391814833164
00114.png,forehead,original_roi,0.2198248503425691
00114.png,under-eyes,original_roi,0.25372647128629905
00114.png,left-cheek,a_degradation_11,0.30447321673955313
00114.png,right-cheek,a_degradation_11,0.17087094769594477
00114.png,bottom-face,a_degradation_11,0.15287172039300242
00114.png,forehead,a_degradation_11,0.20158132209220997
00114.png,under-eyes,a_degradation_11,0.25586477147039083
00114.png,left-cheek,a_degradation_17,0.28812917451327835
00114.png,right-cheek,a_degradation_17,0.16342909902616837
00114.png,bottom-face,a_degradation_17,0.1464525881017468
00114.png,forehead,a_degradation_17,0.1976478481823196
00114.png,under-eyes,a_degradation_17,0.23163420320427008
00123.png,left-cheek,original_roi,0.35870381210160723
00123.png,right-cheek,original_roi,0.32346956971774604
00123.png,bottom-face,original_roi,0.246513558244528
00123.png,forehead,original_roi,0.33299702727216696
00123.png,under-eyes,original_roi,0.219061558320483
00123.png,left-cheek,a_degradation_11,0.33258252099292834
00123.png,right-cheek,a_degradation_11,0.3466688011894259
00123.png,bottom-face,a_degradation_11,0.23814171310807947
00123.png,forehead,a_degradation_11,0.3181789201663467
00123.png,under-eyes,a_degradation_11,0.2068982799189041
00123.png,left-cheek,a_degradation_17,0.2776370533688695
00123.png,right-cheek,a_degradation_17,0.31023650301729544
00123.png,bottom-face,a_degradation_17,0.22576563776097025
00123.png,forehead,a_degradation_17,0.2831853933055369
00123.png,under-eyes,a_degradation_17,0.20917014078666063
00125.png,left-cheek,original_roi,0.25705382103907737
00125.png,right-cheek,original_roi,0.28253308197166194
00125.png,bottom-face,original_roi,0.25148355549861373
00125.png,forehead,original_roi,0.22016438268755617
00125.png,under-eyes,original_roi,0.19622941856866552
00125.png,left-cheek,a_degradation_11,0.24161966302779112
00125.png,right-cheek,a_degradation_11,0.27379920074183894
00125.png,bottom-face,a_degradation_11,0.24373901345323534
00125.png,forehead,a_degradation_11,0.21448365860877816
00125.png,under-eyes,a_degradation_11,0.19654722022898446
00125.png,left-cheek,a_degradation_17,0.22775699173739167
00125.png,right-cheek,a_degradation_17,0.24884491510273402
00125.png,bottom-face,a_degradation_17,0.22671624297117074
00125.png,forehead,a_degradation_17,0.20423403537695511
00125.png,under-eyes,a_degradation_17,0.1864273978808377
00132.png,left-cheek,original_roi,0.13446131683074192
00132.png,right-cheek,original_roi,0.20641141450539563
00132.png,bottom-face,original_roi,0.1634217348370077
00132.png,forehead,original_roi,0.1559051820104006
00132.png,under-eyes,original_roi,0.18574663035017863
00132.png,left-cheek,a_degradation_11,0.1342092068964031
00132.png,right-cheek,a_degradation_11,0.2066017976816919
00132.png,bottom-face,a_degradation_11,0.16203683385822149
00132.png,forehead,a_degradation_11,0.14935573730165863
00132.png,under-eyes,a_degradation_11,0.18134977013939638
00132.png,left-cheek,a_degradation_17,0.1425949378447573
00132.png,right-cheek,a_degradation_17,0.20361750179768381
00132.png,bottom-face,a_degradation_17,0.15869206535360025
00132.png,forehead,a_degradation_17,0.14911812655791196
00132.png,under-eyes,a_degradation_17,0.17750640461143619
00133.png,left-cheek,original_roi,0.398992306380138
00133.png,right-cheek,original_roi,0.26842078862916274
00133.png,bottom-face,original_roi,0.2598379712964838
00133.png,forehead,original_roi,0.35123014004089953
00133.png,under-eyes,original_roi,0.286300508803908
00133.png,left-cheek,a_degradation_11,0.39526100012726784
00133.png,right-cheek,a_degradation_11,0.23921145149176168
00133.png,bottom-face,a_degradation_11,0.238694686238402
00133.png,forehead,a_degradation_11,0.3194898356313466
00133.png,under-eyes,a_degradation_11,0.26371144727622214
00133.png,left-cheek,a_degradation_17,0.35433831434814833
00133.png,right-cheek,a_degradation_17,0.19775290574274892
00133.png,bottom-face,a_degradation_17,0.2223780847298399
00133.png,forehead,a_degradation_17,0.30208558085779064
00133.png,under-eyes,a_degradation_17,0.2535467632897159
00142.png,left-cheek,original_roi,0.21715489859575368
00142.png,right-cheek,original_roi,0.17848941787453024
00142.png,bottom-face,original_roi,0.13773226806776576
00142.png,forehead,original_roi,0.2235809642027697
00142.png,under-eyes,original_roi,0.22450194783073854
00142.png,left-cheek,a_degradation_11,0.21834293084591747
00142.png,right-cheek,a_degradation_11,0.18300502223803633
00142.png,bottom-face,a_degradation_11,0.13440460286954561
00142.png,forehead,a_degradation_11,0.21277261427158253
00142.png,under-eyes,a_degradation_11,0.21369941510062734
00142.png,left-cheek,a_degradation_17,0.22339382804341065
00142.png,right-cheek,a_degradation_17,0.18517713686388826
00142.png,bottom-face,a_degradation_17,0.12802667899703563
00142.png,forehead,a_degradation_17,0.21152294008930728
00142.png,under-eyes,a_degradation_17,0.21315274956239647
00144.png,left-cheek,original_roi,0.2506165113693853
00144.png,right-cheek,original_roi,0.22254424834214426
00144.png,bottom-face,original_roi,0.24349562221058907
00144.png,forehead,original_roi,0.2735630857117014
00144.png,under-eyes,original_roi,0.30859441486616107
00144.png,left-cheek,a_degradation_11,0.25423714456056756
00144.png,right-cheek,a_degradation_11,0.21886533250276288
00144.png,bottom-face,a_degradation_11,0.23942173418688398
00144.png,forehead,a_degradation_11,0.25433296338371336
00144.png,under-eyes,a_degradation_11,0.2962555924233264
00144.png,left-cheek,a_degradation_17,0.2431667507982548
00144.png,right-cheek,a_degradation_17,0.20324594803702933
00144.png,bottom-face,a_degradation_17,0.21642482292054077
00144.png,forehead,a_degradation_17,0.24403855749675268
00144.png,under-eyes,a_degradation_17,0.2853654721691445
00167.png,left-cheek,original_roi,0.21513137437262705
00167.png,right-cheek,original_roi,0.21972803114622882
00167.png,bottom-face,original_roi,0.26580917122581804
00167.png,forehead,original_roi,0.20204369388334845
00167.png,under-eyes,original_roi,0.2592870953764691
00167.png,left-cheek,a_degradation_11,0.22127974878454787
00167.png,right-cheek,a_degradation_11,0.21924727969012892
00167.png,bottom-face,a_degradation_11,0.2604726422897366
00167.png,forehead,a_degradation_11,0.20321193839130364
00167.png,under-eyes,a_degradation_11,0.2460123916563396
00167.png,left-cheek,a_degradation_17,0.19689128749208626
00167.png,right-cheek,a_degradation_17,0.20659164994416815
00167.png,bottom-face,a_degradation_17,0.22643363353437077
00167.png,forehead,a_degradation_17,0.19534794243582324
00167.png,under-eyes,a_degradation_17,0.2387964338718974
00174.png,left-cheek,original_roi,0.25690289434800906
00174.png,right-cheek,original_roi,0.23249780524731242
00174.png,bottom-face,original_roi,0.2416262524106434
00174.png,forehead,original_roi,0.1138146987053621
00174.png,under-eyes,original_roi,0.18335084227365825
00174.png,left-cheek,a_degradation_11,0.2581499515460764
00174.png,right-cheek,a_degradation_11,0.22496860034180682
00174.png,bottom-face,a_degradation_11,0.22610285818526688
00174.png,forehead,a_degradation_11,0.11056929813630055
00174.png,under-eyes,a_degradation_11,0.17677139664771316
00174.png,left-cheek,a_degradation_17,0.24511027083782513
00174.png,right-cheek,a_degradation_17,0.1996202060602753
00174.png,bottom-face,a_degradation_17,0.19964019058354193
00174.png,forehead,a_degradation_17,0.10992895005427485
00174.png,under-eyes,a_degradation_17,0.17300790515399145
00175.png,left-cheek,original_roi,0.29991331424464573
00175.png,right-cheek,original_roi,0.2244529994165715
00175.png,bottom-face,original_roi,0.17365246665200346
00175.png,forehead,original_roi,0.1950037232597279
00175.png,under-eyes,original_roi,0.16735117005779324
00175.png,left-cheek,a_degradation_11,0.295792666626034
00175.png,right-cheek,a_degradation_11,0.21878946117788076
00175.png,bottom-face,a_degradation_11,0.17177174413487262
00175.png,forehead,a_degradation_11,0.1840478427573399
00175.png,under-eyes,a_degradation_11,0.16419693206058641
00175.png,left-cheek,a_degradation_17,0.26664843959364387
00175.png,right-cheek,a_degradation_17,0.1894441108585789
00175.png,bottom-face,a_degradation_17,0.16338923717715337
00175.png,forehead,a_degradation_17,0.17791130914005107
00175.png,under-eyes,a_degradation_17,0.16130146216176772
00189.png,left-cheek,original_roi,0.26982254940077355
00189.png,right-cheek,original_roi,0.14200502068169807
