image,region,version,evenness_score
00048.png,under-eyes,smooth_1_sigma_1.5,0.005102673855972804
00048.png,left-cheek,smooth_2_sigma_2.5,0.004431664130240571
00048.png,right-cheek,smooth_2_sigma_2.5,0.004976345167561573
00048.png,bottom-face,smooth_2_sigma_2.5,0.00578839973409489
00048.png,forehead,smooth_2_sigma_2.5,0.0039208723690118364
00048.png,under-eyes,smooth_2_sigma_2.5,0.005151920986727669
00056.png,left-cheek,original_roi,0.0058426821870490205
00056.png,right-cheek,original_roi,0.003501931119091915
00056.png,bottom-face,original_roi,0.004095006944819761
00056.png,forehead,original_roi,0.003977700423655655
00056.png,under-eyes,original_roi,0.004161859590956044
00056.png,left-cheek,smooth_1_sigma_1.5,0.006144724672463582
00056.png,right-cheek,smooth_1_sigma_1.5,0.0036487226171655947
00056.png,bottom-face,smooth_1_sigma_1.5,0.004304159272315266
00056.png,forehead,smooth_1_sigma_1.5,0.0042215605903830195
00056.png,under-eyes,smooth_1_sigma_1.5,0.004352552642153164
00056.png,left-cheek,smooth_2_sigma_2.5,0.006195415535723391
00056.png,right-cheek,smooth_2_sigma_2.5,0.0036744504726601594
00056.png,bottom-face,smooth_2_sigma_2.5,0.0043439763074871775
00056.png,forehead,smooth_2_sigma_2.5,0.00425351611532154
00056.png,under-eyes,smooth_2_sigma_2.5,0.004384921902514568
00062.png,left-cheek,original_roi,0.004119963267443282
00062.png,right-cheek,original_roi,0.004393473004154213
00062.png,bottom-face,original_roi,0.004746536397650763
00062.png,forehead,original_roi,0.004055257508963974
00062.png,under-eyes,original_roi,0.004183292269559331
00062.png,left-cheek,smooth_1_sigma_1.5,0.0041980656221258525
00062.png,right-cheek,smooth_1_sigma_1.5,0.004510672950137895
00062.png,bottom-face,smooth_1_sigma_1.5,0.004916645685888123
00062.png,forehead,smooth_1_sigma_1.5,0.004222650050170487
00062.png,under-eyes,smooth_1_sigma_1.5,0.0042930563531717175
00062.png,left-cheek,smooth_2_sigma_2.5,0.0042150717639578145
00062.png,right-cheek,smooth_2_sigma_2.5,0.004534025458258961
00062.png,bottom-face,smooth_2_sigma_2.5,0.004954854166281307
00062.png,forehead,smooth_2_sigma_2.5,0.004290911032030337
00062.png,under-eyes,smooth_2_sigma_2.5,0.004321178851742284
00065.png,left-cheek,original_roi,0.0035672821646705105
00065.png,right-cheek,original_roi,0.00407388120810138
00065.png,bottom-face,original_roi,0.004081202277939031
00065.png,forehead,original_roi,0.0040796719655456
00065.png,under-eyes,original_roi,0.003917700258060033
00065.png,left-cheek,smooth_1_sigma_1.5,0.0036042081027644088
00065.png,right-cheek,smooth_1_sigma_1.5,0.004128157660823439
00065.png,bottom-face,smooth_1_sigma_1.5,0.004241409496805423
00065.png,forehead,smooth_1_sigma_1.5,0.004226492714927323
00065.png,under-eyes,smooth_1_sigma_1.5,0.00397755412670821
00065.png,left-cheek,smooth_2_sigma_2.5,0.00361852400915674
00065.png,right-cheek,smooth_2_sigma_2.5,0.004150158153497837
00065.png,bottom-face,smooth_2_sigma_2.5,0.004291323834903659
00065.png,forehead,smooth_2_sigma_2.5,0.004285805738220725
00065.png,under-eyes,smooth_2_sigma_2.5,0.00399678644687435
00074.png,left-cheek,original_roi,0.007086810491954212
00074.png,right-cheek,original_roi,0.00363024917058627
00074.png,bottom-face,original_roi,0.004490795267165628
00074.png,forehead,original_roi,0.003963397207931024
00074.png,under-eyes,original_roi,0.0047435821310816955
00074.png,left-cheek,smooth_1_sigma_1.5,0.0071990551720675445
00074.png,right-cheek,smooth_1_sigma_1.5,0.0036785773201425246
00074.png,bottom-face,smooth_1_sigma_1.5,0.004600674962237794
00074.png,forehead,smooth_1_sigma_1.5,0.004109519999742904
00074.png,under-eyes,smooth_1_sigma_1.5,0.004876573408754558
00074.png,left-cheek,smooth_2_sigma_2.5,0.00724316842061018
00074.png,right-cheek,smooth_2_sigma_2.5,0.0036941112499817084
00074.png,bottom-face,smooth_2_sigma_2.5,0.0046330330157170006
00074.png,forehead,smooth_2_sigma_2.5,0.004150899459805529
00074.png,under-eyes,smooth_2_sigma_2.5,0.004929627324619769
00094.png,left-cheek,original_roi,0.004509666367043958
00094.png,right-cheek,original_roi,0.0047941982764785045
00094.png,bottom-face,original_roi,0.00490284968716487
00094.png,forehead,original_roi,0.004218157066578728
00094.png,under-eyes,original_roi,0.004469859559945086
00094.png,left-cheek,smooth_1_sigma_1.5,0.004551223242268814
00094.png,right-cheek,smooth_1_sigma_1.5,0.004849312915806537
00094.png,bottom-face,smooth_1_sigma_1.5,0.004977731210288077
00094.png,forehead,smooth_1_sigma_1.5,0.0042852035963209184
00094.png,under-eyes,smooth_1_sigma_1.5,0.00452755022071646
00094.png,left-cheek,smooth_2_sigma_2.5,0.004567468207950227
00094.png,right-cheek,smooth_2_sigma_2.5,0.004872738678211395
00094.png,bottom-face,smooth_2_sigma_2.5,0.005018822519918709
00094.png,forehead,smooth_2_sigma_2.5,0.004330476089111633
00094.png,under-eyes,smooth_2_sigma_2.5,0.004551830017246176
00113.png,left-cheek,original_roi,0.004709579021953631
00113.png,right-cheek,original_roi,0.00449561699251611
00113.png,bottom-face,original_roi,0.0047324384761018795
00113.png,forehead,original_roi,0.00403282051061153
00113.png,under-eyes,original_roi,0.004062869064414334
00113.png,left-cheek,smooth_1_sigma_1.5,0.004917042988382282
00113.png,right-cheek,smooth_1_sigma_1.5,0.004693484910016716
00113.png,bottom-face,smooth_1_sigma_1.5,0.0049579029487481175
00113.png,forehead,smooth_1_sigma_1.5,0.004466583618725903
00113.png,under-eyes,smooth_1_sigma_1.5,0.004359656942068731
00113.png,left-cheek,smooth_2_sigma_2.5,0.004958217781211551
00113.png,right-cheek,smooth_2_sigma_2.5,0.004740283833906626
00113.png,bottom-face,smooth_2_sigma_2.5,0.005001544499508537
00113.png,forehead,smooth_2_sigma_2.5,0.00458353396907354
00113.png,under-eyes,smooth_2_sigma_2.5,0.004452317693679087
00114.png,left-cheek,original_roi,0.004192905783322624
00114.png,right-cheek,original_roi,0.006558945191887425
00114.png,bottom-face,original_roi,0.006806513758160953
00114.png,forehead,original_roi,0.004086129929213816
00114.png,under-eyes,original_roi,0.004541174345591394
00114.png,left-cheek,smooth_1_sigma_1.5,0.004290156642452334
00114.png,right-cheek,smooth_1_sigma_1.5,0.0067767234392299295
00114.png,bottom-face,smooth_1_sigma_1.5,0.007056060544390441
00114.png,forehead,smooth_1_sigma_1.5,0.004198054481001537
00114.png,under-eyes,smooth_1_sigma_1.5,0.004707316910380772
00114.png,left-cheek,smooth_2_sigma_2.5,0.004314471037804562
00114.png,right-cheek,smooth_2_sigma_2.5,0.006838416471914114
00114.png,bottom-face,smooth_2_sigma_2.5,0.007129552983896534
00114.png,forehead,smooth_2_sigma_2.5,0.004224026982570799
00114.png,under-eyes,smooth_2_sigma_2.5,0.004764899015611802
00123.png,left-cheek,original_roi,0.004207939035351518
